timestamp,Cn2
2025-05-14 14:33:00,1.6597e-14
2025-05-14 14:34:00,1.8001e-14
2025-05-14 14:35:00,1.7523e-14
2025-05-14 14:36:00,1.4384e-14
2025-05-14 14:37:00,1.7896e-14
2025-05-14 14:38:00,1.7657e-14
2025-05-14 14:39:00,2.0758e-14
2025-05-14 14:40:00,2.0967e-14
2025-05-14 14:41:00,2.583e-14
2025-05-14 14:42:00,2.3409e-14
2025-05-14 14:43:00,2.642e-14
2025-05-14 14:44:00,2.3969e-14
2025-05-14 14:45:00,2.3896e-14
2025-05-14 14:46:00,2.0156e-14
2025-05-14 14:47:00,1.9967e-14
2025-05-14 14:48:00,2.1628e-14
2025-05-14 14:49:00,2.2003e-14
2025-05-14 14:50:00,2.1225e-14
2025-05-14 14:51:00,2.506e-14
2025-05-14 14:52:00,3.019e-14
2025-05-14 14:53:00,2.8305e-14
2025-05-14 14:54:00,2.9068e-14
2025-05-14 14:55:00,2.587e-14
2025-05-14 14:56:00,2.5545e-14
2025-05-14 14:57:00,2.4315e-14
2025-05-14 14:58:00,3.1524e-14
2025-05-14 14:59:00,2.348e-14
2025-05-14 15:00:00,2.6562e-14
2025-05-14 15:01:00,2.2908e-14
2025-05-14 15:02:00,2.5447e-14
2025-05-14 15:03:00,1.608e-14
2025-05-14 15:04:00,1.8563e-14
2025-05-14 15:05:00,1.5478e-14
2025-05-14 15:06:00,1.3694e-14
2025-05-14 15:07:00,1.8792e-14
2025-05-14 15:08:00,1.7738e-14
2025-05-14 15:09:00,2.0887e-14
2025-05-14 15:10:00,2.1916e-14
2025-05-14 15:11:00,2.1615e-14
2025-05-14 15:12:00,2.7949e-14
2025-05-14 15:13:00,3.6212e-14
2025-05-14 15:14:00,3.112e-14
2025-05-14 15:16:00,2.3792e-14
2025-05-14 15:17:00,3.501e-14
2025-05-14 15:18:00,3.2495e-14
2025-05-14 15:19:00,2.6043e-14
2025-05-14 15:20:00,3.0882e-14
2025-05-14 15:21:00,3.283e-14
2025-05-14 15:22:00,4.5196e-14
2025-05-14 15:23:00,3.4146e-14
2025-05-14 15:24:00,2.6718e-14
2025-05-14 15:25:00,2.9613e-14
2025-05-14 15:26:00,3.2169e-14
2025-05-14 15:27:00,2.9626e-14
2025-05-14 15:28:00,2.6765e-14
2025-05-14 15:29:00,2.9475e-14
2025-05-14 15:30:00,2.6352e-14
2025-05-14 15:31:00,2.5599e-14
2025-05-14 15:32:00,1.9683e-14
2025-05-14 15:33:00,2.2904e-14
2025-05-14 15:34:00,1.9206e-14
2025-05-14 15:35:00,1.5086e-14
2025-05-14 15:36:00,2.1104e-14
2025-05-14 15:37:00,1.5822e-14
2025-05-14 15:38:00,2.086e-14
2025-05-14 15:39:00,1.9449e-14
2025-05-14 15:40:00,2.3278e-14
2025-05-14 15:41:00,2.0163e-14
2025-05-14 15:42:00,1.8008e-14
2025-05-14 15:43:00,1.9889e-14
2025-05-14 15:44:00,1.6371e-14
2025-05-14 15:45:00,1.4446e-14
2025-05-14 15:46:00,1.677e-14
2025-05-14 15:47:00,1.3378e-14
2025-05-14 15:48:00,1.565e-14
2025-05-14 15:49:00,1.4342e-14
